,Param Name,Param Value,Param Source / Comments
Category,Scenario name,Regional Delivery Class 8 Truck,
Vehicle,veh_pt_type,Conv,
,drag_coef,0.8,
,frontal_area_m2,10,
,glider_kg,13625,
,veh_cg_m,0.53,
,drive_axle_weight_frac,0.59,
,wheel_base_m,2.7536,
,cargo_kg,136,
,veh_override_kg,15076,
Fuel / Fuel Converter,fs_max_kw,5000,
,fs_secs_to_peak_pwr,1,
,fs_kwh,4000,
,fs_kwh_per_kg,9.875636446,
,fc_max_kw,212,
,fc_eff_map,"[0.08,  0.12, 0.18, 0.21, 0.23, 0.28, 0.3, 0.34, 0.39, 0.39, 0.385, 0.37]",
,fc_eff_type,Diesel,
,fc_sec_to_peak_pwr,6,
,fc_base_kg,61,
,fc_kw_per_kg,0.62,
,mc_pwr_out_perc,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",
,mc_max_kw,0,
,mc_sec_to_peak_pwr,4,
,stop_start,FALSE,
,mc_pe_kg_per_kw,0.833,
,mc_pe_base_kg,21.6,
ESS,ess_max_kw,0,
,ess_max_kwh,0,
,ess_kg_per_kwh,44,
,ess_base_kg,0,
,ess_round_trip_eff,0.97,
,ess_life_coef_a,135,
,ess_life_coef_b,-0.6844,
Wheels,wheel_inertia_kg_m2,0.815,
,num_wheels,4,
,wheel_rr_coef,0.0092,
,wheel_radius_m,0.506,
,wheel_coef_of_fric,0.7,
"SOC, ESS Discharch / Charge",min_soc,0.4,
,max_soc,0.8,
,ess_dischg_to_fc_max_eff_perc,1,
,ess_chg_to_fc_max_eff_perc,0.1,
"Acceleration, FC, Efficiency, Mass, Regen, etc",max_accel_buffer_mph,60,
,max_accel_buffer_perc_of_useable_soc,0.5,
,perc_high_acc_buf,0,
,mph_fc_on,1,
,kw_demand_fc_on,100,
,alt_eff,1,
,chg_eff,0.86,
,aux_kw,10,
,force_aux_on_fc,FALSE,
,trans_kg,114,
,trans_eff,0.85,
,comp_mass_multiplier,1.4,
,ess_to_fuel_ok_error,0.005,
,max_regen,0.98,
"Val: MPGGE, KwhPM, 0 to 60, etc",val_udds_mpgge,,
,val_hwy_mpgge,,
,val_comb_mpgge,,
,val_udds_kwh_per_mile,,
,val_hwy_kwh_per_mile,,
,val_comb_kwh_per_mile,,
,val_cd_range_mi,,
,val_const65_mph_kwh_per_mile,,
,val_const60_mph_kwh_per_mile,,
,val_const55_mph_kwh_per_mile,,
,val_const45_mph_kwh_per_mile,,
,val_unadj_udds_kwh_per_mile,,
,val_unadj_hwy_kwh_per_mile,,
,val0_to60_mph,,
,val_ess_life_miles,,
,val_range_miles,,
,val_veh_base_cost,,
,val_msrp,,
,min_fc_time_on,30,
,idle_fc_kw,4.24,
