Selection,Scenario name,vehYear,vehPtType,dragCoef,frontalAreaM2,gliderKg,vehCgM,driveAxleWeightFrac,wheelBaseM,cargoKg,vehOverrideKg,maxFuelStorKw,fuelStorSecsToPeakPwr,fuelStorKwh,fuelStorKwhPerKg,maxFuelConvKw,fcEffMap,fcEffType,fuelConvSecsToPeakPwr,fuelConvBaseKg,fuelConvKwPerKg,mcPwrOutPerc,maxMotorKw,motorSecsToPeakPwr,stopStart,mcPeKgPerKw,mcPeBaseKg,maxEssKw,maxEssKwh,essKgPerKwh,essBaseKg,essRoundTripEff,essLifeCoefA,essLifeCoefB,wheelInertiaKgM2,numWheels,wheelRrCoef,wheelRadiusM,wheelCoefOfFric,minSoc,maxSoc,essDischgToFcMaxEffPerc,essChgToFcMaxEffPerc,maxAccelBufferMph,maxAccelBufferPercOfUseableSoc,percHighAccBuf,mphFcOn,kwDemandFcOn,altEff,chgEff,auxKw,forceAuxOnFC,transKg,transEff,compMassMultiplier,essToFuelOkError,maxRegen,valUddsMpgge,valHwyMpgge,valCombMpgge,valUddsKwhPerMile,valHwyKwhPerMile,valCombKwhPerMile,valCdRangeMi,valConst65MphKwhPerMile,valConst60MphKwhPerMile,valConst55MphKwhPerMile,valConst45MphKwhPerMile,valUnadjUddsKwhPerMile,valUnadjHwyKwhPerMile,val0To60Mph,valEssLifeMiles,valRangeMiles,valVehBaseCost,valMsrp,minFcTimeOn,idleFcKw,mcEffMap
1,2016 TOYOTA Corolla 4cyl 2WD,,Conv,0.3,2.574,1045.636,0.53,0.61,2.6,136,,2000,1,441,9.89,98,"[0.10, 0.12, 0.16, 0.22, 0.28, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",SI,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",0,4,FALSE,0.833,21.6,0,0,8,75,0.97,110,-0.6811,0.815,4,0.01,0.336,0.8,0.1,0.95,0,0,60,0.2,0,55,100,1,0.86,0.7,FALSE,114,0.92,1.4,0.005,0.98,27,36,31,,,,,,,,,,,9.9,,,,,30,1.96,
2,2016 HYUNDAI Elantra 4cyl 2WD,,Conv,0.3,2.611,1090.626,0.53,0.59,2.6,136,,2000,1,468,9.89,110,"[0.10, 0.12, 0.16, 0.22, 0.28, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",SI,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",0,4,FALSE,0.833,21.6,0,0,8,75,0.97,110,-0.6811,0.815,4,0.012,0.336,0.7,0.4,0.8,0,0,60,0.2,0,30,100,1,0.86,0.7,FALSE,114,0.92,1.4,0.005,0.98,27,37,31,,,,,,,,,,,9.9,,,,,30,2.2,
3,2016 TOYOTA Camry 4cyl 2WD,,Conv,0.3,2.694,1334.332,0.53,0.59,2.6,136,,2000,1,568,9.89,149,"[0.10, 0.12, 0.16, 0.22, 0.28, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",SI,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",0,4,FALSE,0.833,21.6,0,0,8,75,0.97,110,-0.6811,0.815,4,0.007,0.336,0.7,0.4,0.8,0,0,60,0.2,0,30,100,1,0.86,0.7,FALSE,114,0.92,1.4,0.005,0.98,25,35,28,,,,,,,,,,,8.6,,,,,30,2.98,
4,2016 CHEVROLET Malibu 4cyl 2WD,,Conv,0.3,2.732,1146.223,0.53,0.59,2.6,136,,2000,1,434,9.89,119,"[0.10, 0.12, 0.16, 0.22, 0.28, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",SI,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",0,4,FALSE,0.833,21.6,0,0,8,75,0.97,110,-0.6811,0.815,4,0.008,0.336,0.7,0.4,0.8,0,0,60,0.2,0,30,100,1,0.86,0.7,FALSE,114,0.92,1.4,0.005,0.98,27,37,31,,,,,,,,,,,8.4,,,,,30,2.38,
5,2016 FORD Escape 4cyl 2WD,,Conv,0.355,3.066,1359.166,0.53,0.59,2.6,136,,2000,1,504,9.89,125,"[0.10, 0.12, 0.16, 0.22, 0.28, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",SI,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",0,4,FALSE,0.833,21.6,0,0,8,75,0.97,110,-0.6811,0.815,4,0.006,0.336,0.7,0.4,0.8,0,0,60,0.2,0,30,100,1,0.86,0.7,FALSE,114,0.92,1.4,0.005,0.98,23,32,26,,,,,,,,,,,9.9,,,,,30,2.5,
6,2016 FORD Explorer 4cyl 2WD,,Conv,0.34,3.568,1800.313,0.53,0.59,2.6,136,,2000,1,621,9.89,205,"[0.10, 0.12, 0.16, 0.22, 0.28, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",SI,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",0,4,FALSE,0.833,21.6,0,0,8,75,0.97,110,-0.6811,0.815,4,0.008,0.336,0.7,0.4,0.8,0,0,60,0.2,0,30,100,1,0.86,0.7,FALSE,114,0.92,1.4,0.005,0.98,19,28,22,,,,,,,,,,,,,,,,30,4.1,
7,2016 BMW 328d 4cyl 2WD,,Conv,0.3,2.565,1409.717,0.53,0.59,2.6,136,,2000,1,501,9.89,135,"[0.10, 0.14, 0.20, 0.26, 0.32, 0.39, 0.41, 0.42, 0.41, 0.38, 0.36, 0.34]",Diesel,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",0,4,FALSE,0.833,21.6,0,0,8,75,0.97,110,-0.6811,0.815,4,0.012,0.336,0.7,0.4,0.8,0,0,60,0.2,0,60,60,1,0.86,0.7,FALSE,114,0.92,1.4,0.005,0.98,31,42,35,,,,,,,,,,,,,,,,30,2.7,
8,2016 AUDI A3 4cyl 2WD,,Conv,0.395,2.565,1089.051,0.53,0.59,2.6,136,,2000,1,441,9.89,112,"[0.10, 0.14, 0.20, 0.26, 0.32, 0.39, 0.41, 0.42, 0.41, 0.38, 0.36, 0.34]",Diesel,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",0,4,FALSE,0.833,21.6,0,0,8,75,0.97,110,-0.6811,0.815,4,0.01,0.336,0.7,0.4,0.8,0,0,60,0.2,0,60,60,1,0.86,0.7,FALSE,114,0.92,1.4,0.005,0.98,31,41,35,,,,,,,,,,,,,,,,30,2.24,
9,2016 FORD C-MAX HEV,,HEV,0.325,2.973,1225.594,0.53,0.59,2.6,136,,2000,1,451,9.89,141,"[0.10, 0.12, 0.28, 0.35, 0.375, 0.39, 0.40, 0.40, 0.38, 0.37, 0.36, 0.35]",Atkinson,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",35,4,FALSE,0.833,21.6,35,1,8,75,0.97,110,-0.6811,0.815,4,0.007,0.336,0.7,0.4,0.8,0,0,60,0.2,0,62,60,1,0.86,0.5,FALSE,114,0.95,1.4,0.005,0.98,42,37,40,,,,,,,,,,,8.4,,,17000,24170,30,2.82,
10,2016 KIA Optima Hybrid,,HEV,0.3,2.732,1165.944,0.53,0.59,2.6,136,,2000,1,574,9.89,119,"[0.10, 0.12, 0.28, 0.35, 0.375, 0.39, 0.40, 0.40, 0.38, 0.37, 0.36, 0.35]",Atkinson,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",35,4,FALSE,0.833,21.6,47,1,8,75,0.97,110,-0.6811,0.815,4,0.008,0.336,0.7,0.4,0.8,0,0,60,0.2,0,1,100,1,0.86,0.5,FALSE,114,0.95,1.4,0.005,0.98,36,40,38,,,,,,,,,,,,,,17000,25995,30,2.38,
